Jurisdicción;CUE Anexo;Nombre;Sector;Ámbito;Domicilio;CP;Código de área;Teléfono;Código localidad;Localidad;Departamento;Mail;Ed. Común;Ed. Especial;Ed. Adultos;Ed. Artística;Ed. Hospitalaria Domiciliaria;Ed. Intercultural Bilingüe;Jardín maternal;Inicial;Primaria;Secundaria;Secundaria Técnica (INET);Superior no Universitario;Servicios complementarios
Buenos Aires;60000100;JARDÍN DE INFANTES Nº915 JAVIER VILLAFAÑE;Estatal;Urbano;TIRO FEDERAL 712  ;7300;02281;426487;6049005;AZUL;AZUL;jardin905azul@gmail.com; ji007915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60763700;JARDÍN DE INFANTES Nº919;Estatal;Urbano;PJE. PADOVANI E/ AVELLANEDA Y FAGNANO S/N  BARRIO RICARDO ROJA;1618;011;5650-4809;6805008;EL TALAR;TIGRE;jardindeinfantes919@gmail.com; oji0550919@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60763800;INSTITUTO SAN PEDRO CLAVER;Privado;Urbano;BIBILONI 2928  ;1618;03327;45-5529;6805014;RICARDO ROJAS;TIGRE;secretaria_spclaver@yahoo.com.ar; dmm0554997@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60763900;COLEGIO XUL SOLAR;Privado;Urbano;H. IRIGOYEN 111  ;1617;011;4740-5573;6805009;GENERAL PACHECO;TIGRE;colegioxsolar.escuelaprimaria@gmail.com; dpp0552513@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60764000;ESCUELA DE EDUCACIÓN PRIMARIA Nº33 CONTANCIO C. VIGIL;Estatal;Urbano;CARDENAL FAGNANO ESQ. BLANDENGUES 2384  ;1617;011;15-3123-9745;6805014;RICARDO ROJAS;TIGRE;ep33ccv@gmail.com; opp0550033@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60764100;INSTITUTO TUCUMAN;Privado;Urbano;TUCUMAN 1962  ;1828;011;4202-6442;6490001;BANFIELD;LOMAS DE ZAMORA;institutotucuman2005@hotmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60764200;INSTITUTO BALMORAL;Privado;Urbano;MANUEL CASTRO 1531  ;1828;011;4242-0385;6490001;BANFIELD;LOMAS DE ZAMORA;secundaria@balmoral.esc.edu.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60764300;COLEGIO BALMORAL;Privado;Urbano;MANUEL CASTRO 1536  ;1828;011;4242-0385;6490001;BANFIELD;LOMAS DE ZAMORA;primaria@balmoral.esc.edu.ar; dpp0620303@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60764400;COLEGIO JOSÉ MANUEL ESTRADA;Privado;Urbano;VIEYTES E/ COMAHUE Y PAIRO 1458  ;1828;011;4248-9233;6490001;BANFIELD;LOMAS DE ZAMORA;estradabanfield@yahoo.com.ar; dpp0620311@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60764500;JARDÍN DE INFANTES PEPIN CASCARON;Privado;Urbano;LARROQUE E/TUCUMAN Y BALIÑA 1155  ;1828;011;4202-6454;6490001;BANFIELD;LOMAS DE ZAMORA;jardinpepin@yahoo.com.ar; dji0621159@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60764600;JARDÍN DE INFANTES VIRGEN NIÑA;Privado;Urbano;ALVEAR E/MONTEAGUDO Y LAS HERAS 920  ;1828;011;4242-3036;6490001;BANFIELD;LOMAS DE ZAMORA;hogarpereyra@yahoo.com.ar; dji0621520@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60764700;INSTITUTO NUESTRA SEÑORA DE LUJAN;Privado;Urbano;CASTELLI 1660  ;1832;011;4282-8295;6490005;LOMAS DE ZAMORA;LOMAS DE ZAMORA;imstitutolujandelomas@hotmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60764800;COLEGIO ALEMAN DE TEMPERLEY;Privado;Urbano;PEREYRA LUCENA 755  ;1832;011;4292-0959;6490005;LOMAS DE ZAMORA;LOMAS DE ZAMORA;secretarasecundario@temperleyschule.edu.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60764900;INSTITUTO MODELO;Privado;Urbano;AV.HIPOLITO YRIGOYEN 7897  ;1828;011;4242-8847;6490001;BANFIELD;LOMAS DE ZAMORA;educacionsecundaria@modelobanfield.edu.ar; dmm0624432@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60765000;JARDÍN DE INFANTES Nº913;Estatal;Urbano;JOSE INGENIEROS 2225  ;1646;011;4744-1740;6749024;VIRREYES;SAN FERNANDO;jardin913sf@gmail.com; oji0950913@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60765100;JARDÍN DE INFANTES Nº909 TAMBOR DE TACUARI;Estatal;Urbano;CARLOS CASARES 3991  ;1644;011;4714-4849;6749023;VICTORIA;SAN FERNANDO;jardin909sf@gmail.com; oji0950909@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60765200;ESCUELA DE EDUCACIÓN PRIMARIA Nº37 ISLAS MALVINAS;Estatal;Urbano;C.CASARES Y PUEYRREDON S/N  ;1644;011;4714-6205;6749023;VICTORIA;SAN FERNANDO;primariatreintaysiete@yahoo.com; opp0950037@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60765300;ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 HERNANDO ARIAS DE SAAVEDRA;Estatal;Urbano;CARLOS CASARES 3979  ;1644;011;4714-3232;6749023;VICTORIA;SAN FERNANDO;media2sfdo@yahoo.com.ar;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60765400;ESCUELA DE ADULTOS Nº703 ALFEREZ JOSÉ MARIA SOBRAL;Estatal;Urbano;CARLOS CASARES Y PUEYRREDON S/N  ;1644;011;4714-6205;6749023;VICTORIA;SAN FERNANDO;hectorlule@hotmail.es; ode0950703@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60765401;CENTRO DE ADULTOS Nº709/03;Estatal;Urbano;CORDERO Y CALLE 19 4725  ;1646;011;4714-1493;6749024;VIRREYES;SAN FERNANDO;hectorlule@hotmail.es; odc0950709@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60765402;CENTRO DE ADULTOS Nº710/03;Estatal;Urbano;CHACABUCO Y AZCUENAGA S/N  SAN FERNANDO;1646;011;4714-7131;6749021;SAN FERNANDO;SAN FERNANDO;hectorlule@hotmail.es; odc0950710@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60765500;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº4 JUAN MANUEL FANGIO;Estatal;Urbano;VILLEGAS E/ ENTRE RIOS Y OCAMPO 2231  ;1754;011;4651-5470;6427012;SAN JUSTO;LA MATANZA;eetn4jmfangio@yahoo.com; mt069004@abc.gov.ar;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60765600;ESCUELA MEDALLA MILAGROSA;Privado;Urbano;ROMA 4250  ;1824;011;4246-8560;6434004;LANUS (ESTE Y OESTE);LANUS;instmedalla@yahoo.com.ar; dpp1110284@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60765700;INSTITUTO MEDALLA MILAGROSA;Privado;Urbano;ROMA 4250  ;1825;011;4246-8560;6434004;LANUS (ESTE Y OESTE);LANUS;instmedalla@yahoo.com.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60766000;ESCUELA DE EDUCACIÓN PRIMARIA Nº66 RGTO.GRANADEROS A CABALLOS GRAL.S MAR;Estatal;Urbano;CONDARCO Y ARIAS 2332  ;1825;011;4289-2463;6434005;MONTE CHINGOLO;LANUS;opp1110066@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60766100;ESCUELA DE EDUCACIÓN PRIMARIA Nº37 EVA PERON;Estatal;Urbano;KLOOSTERMAN E/ TUCUMAN Y MONTEVIDEO 1757  ;1824;011;4220-8450;6434005;MONTE CHINGOLO;LANUS;ep37evaperon@yahoo.com.ar; opp1110037@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60766200;ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 GRAL. MARTÍN MIGUEL DE GÜEMES;Estatal;Urbano;CAZON 1936  ;1825;011;4246-5326;6434005;MONTE CHINGOLO;LANUS;mm111guemes@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60766300;ESCUELA DE ADULTOS Nº705;Estatal;Urbano;YAPEYU E/ JUNCAL Y PICHINCHA 1115  ;1825;011;4289-2922;6434005;MONTE CHINGOLO;LANUS;705adultos@gmail.com; ode1110705@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60766301;CENTRO DE ADULTOS Nº718/05;Estatal;Urbano;CAZON 510  VILLA URQUIZA;1825;011;4246-9381;6434005;MONTE CHINGOLO;LANUS;mirta_atralla@yahoo.com.ar; odc1110718@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60766302;CENTRO DE ADULTOS Nº730/05;Estatal;Urbano;BLAS PARERA 2363  Virgen de Guadalupe;1825;011;4230-2228;6434012;LANUS;LANUS;mista_atralla@yahoo.com.ar; odc1110730@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60766303;CENTRO DE ADULTOS Nº731/05;Estatal;Urbano;donato alvarez y rondeau S/N  VILLA URQUIZA;1825;nan;nan;6434012;LANUS;LANUS;mirta_atralla@yahoo.com.ar; odc1110731@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60766400;ESCUELA DE EDUCACIÓN PRIMARIA Nº44 CRISTOBAL COLON;Estatal;Urbano;MANUEL CASTRO E/ MENDEZ Y VIDAL 644  ;1826;011;4242-2447;6434007;REMEDIOS DE ESCALADA DE SAN MARTIN;LANUS;gabiwoods@yahoo.com.ar; opp1110044@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60766500;INSTITUTO SAN AGUSTIN;Privado;Urbano;ROSALES 1036  ;1826;011;4242-0952;6434007;REMEDIOS DE ESCALADA DE SAN MARTIN;LANUS;secretariaisasuperior@gmail.com; dis1114896@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60766700;JARDÍN DE INFANTES Nº910 TAMBOR DE TACUARI;Estatal;Urbano;CUYO E/ DOYHENRAD Y PARETTA 1111  ;1836;011;4214-5486;6490004;LLAVALLOL;LOMAS DE ZAMORA;ceciluna72@yahoo.com.ar; ji062910@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60766800;JARDÍN DE INFANTES Nº915;Estatal;Urbano;PARETTA ESQ. SANTOS VEGA S/N  ;1836;011;4298-2595;6490004;LLAVALLOL;LOMAS DE ZAMORA;oji0620915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60766900;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº4;Estatal;Urbano;ANTARTIDA ARGENTINA 2750  ;1836;011;4231-1627;6490004;LLAVALLOL;LOMAS DE ZAMORA;mariaricardom@yahoo.com.ar; omt0620004@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60767000;ESCUELA DE EDUCACIÓN PRIMARIA Nº4 BIECKERT;Estatal;Urbano;ANTARTIDA ARGENTINA Y SANTA CATALINA S/N  ;1836;011;4231-2261;6490004;LLAVALLOL;LOMAS DE ZAMORA;escuelal4lavallol@yahoo.com.ar; pp062004@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60767100;ESCUELA DE EDUCACIÓN PRIMARIA Nº23 ALMAFUERTE;Estatal;Urbano;MELBER Y WILDE 2070  ;1836;011;4298-2734;6490004;LLAVALLOL;LOMAS DE ZAMORA;escuela_23_lz@yahoo.com.ar; opp0620023@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60767200;ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 ARISTOBULO DEL VALLE;Estatal;Urbano;CRAMER E/ ALVARO Y RICCHIERI 450  ;7100;02245;44-6276/1843;6238002;DOLORES;DOLORES;escuelasecundaria_3@yahoo.com.ar;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60767300;I. S. F. DOCENTE Y TÉCNICA Nº89 DR. RENE FAVALORO;Estatal;Urbano;ENTRE RIOS 555  ;7109;02257;42-3606;6420015;MAR DE AJO NORTE;LA COSTA;info@isfdyt89.edu.ar; ois1230089@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60767500;ESCUELA DE EDUCACIÓN PRIMARIA Nº10 JOSÉ HERNANDEZ;Estatal;Urbano;ESPORA Y ESTANISLAO DEL CAMPO 1750  VILLA CLELIA;7109;02257;42-9783;6420004;MAR DE AJO;LA COSTA;pp10lacosta@gmail.com; pp123010@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60767600;CENTRO EDUCATIVO DE NIVEL SECUNDARIO N°452;Estatal;Urbano;RIOBAMBA 251  ;7100;02245;44-1720;6238002;DOLORES;DOLORES;escuelamedia2dolores@yahoo.com.ar; mm029002@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60767700;ESCUELA ARTES VISUALES LINO SPILIMBERGO;Estatal;Urbano;ZAPIOLA E/ 19 DE MAYO Y RODRIGUEZ 247  ;8000;0291;452-4146;6056003;BAHIA BLANCA;BAHIA BLANCA;artesvisualesbb@gmail.com; av008003@abc.gov.ar;Verdadero;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60767900;CONSERVATORIO DE MUSICA;Estatal;Urbano;BELGRANO 446  ;8000;0291;453-6053;6056003;BAHIA BLANCA;BAHIA BLANCA;secretariaconser@gmail.com; am008001@abc.gov.ar;Verdadero;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60768200;ESCUELA MODELO MARIANO ACOSTA;Privado;Urbano;AGUSTIN ALVAREZ ESQ. CRAMER 64  ;1877;011;4252-6341;6658004;DON BOSCO;QUILMES;emmaegb64@yahoo.com.ar; dpp0851169@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60768400;COLEGIO PRIVADO BERNAL;Privado;Urbano;LAVALLE 142  ;1876;011;4259-4178;6658001;BERNAL;QUILMES;colpribernal@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60768600;JARDÍN DE INFANTES Nº907 BARRIO PARQUE CALCHAQUI;Estatal;Urbano;GUTIERREZ E/ MOSCONI Y 384 3549  ;1879;011;4280-8049;6658008;QUILMES;QUILMES;jardin907quilmes@gmail.com; ji085907@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60768700;ESCUELA DE EDUCACIÓN PRIMARIA Nº68 JOSÉ HERNANDEZ;Estatal;Urbano;819 921  ;1879;011;4280-8048;6658008;QUILMES;QUILMES;egb68@hotmail.com; pp085068@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60768800;ESCUELA DE EDUCACIÓN PRIMARIA Nº75 REPUBLICA DE CHILE;Estatal;Urbano;CHILE ESQ. IRALA 75  ;1879;011;4200-3083;6658008;QUILMES;QUILMES;sa14raquel@gmail.com; opp0850075@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60768900;COLEGIO SAN CAYETANO;Privado;Urbano;ALBERTI ESQ. PANAMA 465  ;8000;0291;488-0575;6056003;BAHIA BLANCA;BAHIA BLANCA;sancayetanobbprimaria@hotmail.com; dpp0081066@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60769200;ESCUELA DE EDUCACIÓN SECUNDARIA Nº13 LIBERTADORES DE AMERICA;Estatal;Urbano;PAMPA E/172 Y 172 BIS - BºSANTA MARIA 4324  ;1876;011;4270-0787;6658001;BERNAL;QUILMES;ees13quilmes@gmail.com; mm085013@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60769300;ESCUELA DE EDUCACIÓN PRIMARIA Nº65 COMODORO LUIS PY;Estatal;Urbano;LOS ANDES Y MALVINAS S/N  ;1876;011;4270-1369;6658001;BERNAL;QUILMES;escuela65q@hotmail.com; pp085065@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60769400;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº4 DR. ERNESTO LONGOBARDI;Estatal;Urbano;LAMBARE E/ OCAMPO Y SOLIER 645  ;1870;011;4204-5647/0016;6035001;AVELLANEDA;AVELLANEDA;longoavellaneda@yahoo.com.ar; mt005004@abc.gov.ar;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60769500;JARDÍN DE INFANTES Nº914 MARIA CHARLIER DE VELURTAS;Estatal;Urbano;TUCUMAN E/JUNCAL Y LOS POZOS S/N  ;6230;03388;42-2724;6392014;GENERAL VILLEGAS;GENERAL VILLEGAS;jardinlatrocha.914@gmail.com; oji0490914@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60769600;JARDÍN DE INFANTES Nº906 REMEDIOS DE ESCALADA;Estatal;Rural;LISANDRO DE LA TORRE 133  VILLA CICLON;6240;03388;42-1353;6392014;GENERAL VILLEGAS;GENERAL VILLEGAS;jardindeinfantes906@yahoo.com.ar; ji049906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60769800;CENTRO DE ADULTOS Nº702;Estatal;Rural;GALLO 344  ;6241;03388;49-3638;6392011;EMILIO V. BUNGE;GENERAL VILLEGAS;silmarra@servicoopsa.com; odc0490702@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60769900;ESCUELA DE EDUCACIÓN PRIMARIA Nº41 JULIO ARGENTINO ROCA;Estatal;Urbano;ZONA RURAL   LA CORONA;6533;02345;15-66-9847;6588041;FACUNDO QUIROGA;9 DE JULIO;r-jcastro@hotmail.com; opp0760041@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60770000;ESCUELA DE EDUCACIÓN PRIMARIA Nº127 SANTA MARIA;Estatal;Urbano;JOSE LEON LARRE Y LAGOS 1410  ;1759;02202;436129;6427005;GONZALEZ CATAN;LA MATANZA;mcperalta2001@yahoo.com; pp069127@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60770100;ESCUELA DE EDUCACIÓN PRIMARIA Nº133;Estatal;Urbano;ANTEQUERA Y ZEPPELIN 4150  BARRIO PICALUGA;1759;02202;43-6655;6427005;GONZALEZ CATAN;LA MATANZA;escuelaprimaria133@gmail.com; pp069133@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60770200;JARDÍN DE INFANTES Nº904 HORTENCIA S. DE BARBICH;Estatal;Urbano;SAN MARTIN E/ SALTA Y PERITO MORENO 2848  ;2942;03329;48-9149;6070001;BARADERO;BARADERO;jardin904bara@yahoo.com.ar; oji0100904@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60770300;ESCUELA DE EDUCACIÓN PRIMARIA Nº17 DR. JUAN JOSÉ PASO;Estatal;Urbano;PELAGIO LUNA Y ARTIGAS S/N  ;1614;011;4660-1019;6515006;VILLA DE MAYO;MALVINAS ARGENTINAS;paulaisa@hotmail.es; pp133017@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60770400;ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 JOSÉ HERNANDEZ;Estatal;Urbano;MORSE E/ O'BRIEN Y SOLER 821  LA CABAÑA;1613;011;4463-0754;6515004;PABLO NOGUES;MALVINAS ARGENTINAS;esc_cabecera_82@yahoo.com.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60770500;ESCUELA DE EDUCACIÓN PRIMARIA Nº4 SARGENTO JUAN BAUTISTA CABRAL;Estatal;Urbano;JUAN PUJOL E/ ARTIGAS Y AMENABAR 2435  ;1614;011;4456-0967;6515006;VILLA DE MAYO;MALVINAS ARGENTINAS;jorgelina437@hotmail.com; pp133004@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60770600;JARDÍN DE INFANTES Nº908;Estatal;Urbano;WRIGHT 1195  BARRIO PANAMERICANA;1613;011;4463-1886;6515004;PABLO NOGUES;MALVINAS ARGENTINAS;magap-13@hotmail.com; ji133908@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60770700;ESCUELA DE EDUCACIÓN PRIMARIA Nº31 PROFESOR VICTOR MERCANTE;Estatal;Urbano;LUIS GALVANI E/ A.STORNI Y BUSTAMANTE 1020  LA CABAÑA;1613;011;4463-1745;6515004;PABLO NOGUES;MALVINAS ARGENTINAS;elsacristinagarcia77@gmail.com; opp1330031@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60770800;JARDÍN DE INFANTES Nº907 GENERAL DON JOSÉ DE SAN MARTIN;Estatal;Urbano;SAN MARTIN 295  ;2741;02474;42-2041;6714023;SALTO;SALTO;jardin907@s10.coopenet.com.ar; ji066907@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60770900;INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TÉCNICA Nº126;Estatal;Urbano;BERNARDINO ESPERANZA 413  ;2741;02474;42-3102;6714023;SALTO;SALTO;isfdt126@510.cooperet.com.ar; ois0660126@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60771000;INSTITUTO BENITO QUINQUELA MARTIN;Privado;Urbano;C. CASARES Y ZUFRIANTEGUI 6151  ;1757;011;4457-8272;6427006;GREGORIO DE LAFERRERE;LA MATANZA;quinquel@speedy.com.ar; dpp0693198@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60771100;ESCUELA DE EDUCACIÓN PRIMARIA Nº36 A.R.A. CRUCERO GENERAL BELGRANO;Estatal;Urbano;JUAN LLERENA E/ELVIRA DELLEPIANE Y CORVISANT 4444  ;1612;011;4741-0356;6515002;INGENIERO ADOLFO SOURDEAUX;MALVINAS ARGENTINAS;maby.58a@hotmail.com; opp1330036@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60771200;ESCUELA LA PROVIDENCIA;Privado;Urbano;SAENZ PEÑA ESQ. CORRIENTES 1407  ;1878;011;4253-1760;6658008;QUILMES;QUILMES;laprovidenciaquilmes@hotmail.com; dpp0850476@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso
